riskId,name,description
R065,Catastrophic Event Costs,Incremental costs of responding to catastrophic events declared a disaster or state of emergency are recovered through California Energy Management Assistance applications.
R066,Catastrophic Events,"A disruption or failure of systems or operations because of a major earthquake, weather event, cyberattack, terrorist attack, pandemic, or other catastrophic event could cause delays in completing sales, providing services, or performing other critical functions."
R067,Catastrophic Events and Emergency Costs,"Costs associated with catastrophic events such as fires and storms declared emergencies require California Energy Management Assistance applications for recovery, which are subject to regulatory approval and uncertainty."
R068,Change in Control Risk,"Delaware law and the company's certificate of incorporation, bylaws, and agreement with Microsoft contain anti-takeover provisions that may discourage, delay, or prevent a change in control."
R069,Change of Control Risk,"Under the agreement with Microsoft for the Xbox, if someone makes an offer to purchase at least 30% of outstanding common stock, Microsoft may have first and last rights of refusal to purchase the stock, which could delay or prevent a change in control of NVIDIA."
R070,Changes in Financial Accounting Standards,Changes in financial accounting standards or interpretations of existing standards could affect results of operations.
R071,Changing Environmental Laws and Regulations,"Environmental remediation costs could increase in the future as a result of new legislation, stricter standards, or more expansive application of existing environmental regulations. Failure to comply could expose the Utility to claims or civil and criminal fines."
R072,Channel Inventory Risk,Undershipping GPU supply to channel partners to lower inventory levels; excess inventory with OEM partners due to rapid change in economic conditions.
R073,Channel Partner Dependency Risk,"NVIDIA sells most products through channel partners who sell to distributors, retailers, and end customers. Decisions made by these intermediaries can impair the ability to properly forecast demand."
R074,China Data Localization Requirements,China law imposes various requirements relating to data processing and data localization. Data broadly defined as important under China law may not be transferable outside of China without prior assessment and approval by the Cyberspace Administration of China (CAC).
R075,China Export Restrictions on Semiconductors,"During the third quarter of fiscal year 2023, the U.S. government announced new export restrictions and licensing requirements targeting China's semiconductor and supercomputing industries, affecting exports of certain chips, software, hardware, equipment, and technology to China (including Hong Kong and Macau) and Russia."
R076,China Market Risk,"Results and competitive position may be harmed if customers in China do not want to purchase alternative product offerings, if customers purchase from competitors, if customers develop internal solutions, or if USG does not grant licenses in a timely manner or denies licenses to significant customers."
R077,China Operations Transition Risk,"NVIDIA is required to transition certain operations out of China (including Hong Kong), which could be costly and time consuming, adversely affecting research and development, supply and distribution operations, and revenue."
R078,Chinese Government Restrictions on Gaming,"Restrictions imposed by the Chinese government on the duration of gaming activities and access to games may adversely affect Gaming revenue, and increased oversight of digital platform companies may adversely affect Data Center revenue."
R079,Claims and Lawsuits Risk,"The company is subject to a variety of claims and lawsuits arising from business practices, including major product releases, AI services, significant business transactions, warranty or product claims, employment practices, and regulation. Adverse outcomes may result in significant monetary damages or injunctive relief."
R080,"Claims, Litigation, and Government Investigations","Amazon is regularly subject to actual and threatened claims, litigation, reviews, investigations, and other proceedings involving patent and intellectual property matters, taxes, labor and employment, competition and antitrust, privacy, data use, data protection, data security, consumer protection, and other matters."
R081,Climate Change - Temperature Impact,Rising ambient temperatures pose risks to equipment performance and influence electricity demand through increased air conditioning usage and the adoption of beneficial electrification technologies.
R082,Climate Change Impact,"Climate change may have an increasingly adverse impact on the business and those of customers, partners and vendors. Water and energy availability, extreme weather events, wildfires, and climate-related political instability may disrupt operations, cause higher attrition, losses and costs."
R083,Climate Change Infrastructure Investment,"The Utility will need to make substantial, sustained investments to its infrastructure to adapt to climate change, placing upward pressure on customer rates."
R084,Climate Change Operational Risk,"Climate change impacts on infrastructure resilience, requiring updates to design and construction standards for equipment and facilities to address current and future extreme weather conditions."
R085,Climate Change Risk,The company faces risks related to climate change impacts and manages these risks through a science-based approach to reducing its climate change footprint.
R086,Climate Regulatory and Compliance Risks,"Current and emerging legal and regulatory requirements related to climate change, such as carbon pricing and ESG disclosure requirements, may result in increased compliance burdens, higher operating costs, and disruptions to PayPal's operations."
R087,Climate-Related Laws and Regulations,"The company's business may be subject to climate-related laws, regulations, and lawsuits, including carbon taxes, fuel or energy taxes, and pollution limits, resulting in greater direct and indirect costs, increased capital expenditures, and higher compliance and energy costs."
R088,Climate-Related Physical Risks,"PayPal's primary locations, particularly its headquarters in California, may be vulnerable to adverse effects of climate change, including drought, water scarcity, flooding, heat waves, wildfires, resultant air quality impacts, and power shutoffs associated with wildfire prevention."
R089,Cloud Execution and Competitive Risk,Competitors are rapidly developing and deploying cloud-based services. Pricing and delivery models are evolving. Devices and form factors influence cloud service adoption. The company may not establish sufficient market share to achieve scale necessary to meet business objectives.
R090,Cloud Infrastructure Cost Risk,Costs to build and maintain infrastructure to support cloud computing services will reduce previously achieved operating margins. Failure to generate sufficient usage of new products and services may negatively impact gross margins and operating income.
R091,Cloud-Based Services Execution Risk,Increasing focus on cloud-based services presents execution and competitive risks as a growing part of the business involves cloud-based services available across the spectrum of computing devices.
R092,Coastal and Flooding Risk,"The Utility's assets located on the coast and near watersheds face increasing exposure to coastal, riverine, and pluvial flooding driven by climate-related changes in precipitation and sea level rise. The risk of damage to substations and operational interruptions is predicted to increase over time."
R093,Collective Bargaining Agreement Expiry,"Collective bargaining agreements in effect for the IBEW Local 1245, ESC Local 20, and SEIU will expire on December 31, 2025, posing potential labor negotiation risks."
R094,Commercial Agreements and Strategic Alliances Risk,"The company enters into commercial agreements covering web services, fulfillment, customer service, inventory management, payment processing, hardware, content, and third-party software, among other areas. Compensation may be lower than expected, agreements may be terminated if partner offerings are unsuccessful, and the company may be unable to renew or replace agreements on comparable terms."
R095,Commodity Price Risk,"The Utility is exposed to commodity price risk from its electricity and natural gas procurement activities, including procurement of natural gas and nuclear fuel for electricity generation, with price fluctuations potentially impacting cash flows."
R096,Common Plant Allocation Risk,"The common plant allocation decision in the TO18 proceeding will also be incorporated into TO19 and TO20 rate cases, creating uncertainty."
R097,Competition Law Investigations,"Amazon faces open investigations based on claims that aspects of its operations violate competition rules, including aspects of Amazon's U.S. and European marketplace for sellers, particularly with respect to use of data, fulfillment services, and featured offers."
R098,Competition Law Risk,"Competition law regulatory actions and court decisions may result in fines or hinder the ability to provide software benefits to consumers and businesses, reducing product attractiveness and revenue. Such actions could also cause withdrawal or modification of products, decrease asset value, or inhibit acquisitions."
R099,Competition Risk,"Competition in current and target markets could cause NVIDIA to lose market share and revenue. Competitors may offer cheaper products, better functionality, longer operating histories, larger customer bases, more comprehensive intellectual property portfolios, and greater financial resources."
R100,Competition for Qualified Personnel,"Competition for qualified personnel is intense, making human capital management a risk factor for the company."
R101,Competition from Alternative Computational Approaches,"NVIDIA faces competition from alternative computational approaches that may match its performance in target markets including Data Center, Gaming, Professional Visualization, and Automotive."
R102,Competition from Alternative Providers,"Customers can obtain electricity from alternative providers such as municipalities or CCAs, as well as from self-generation resources such as rooftop solar installations."
R103,Competition from Energy Service Providers (DA),California law allows qualifying non-residential electric customers of IOUs to purchase electricity from energy service providers rather than from the utilities under the Direct Access (DA) arrangement.
R104,Competition in Cloud and Business Solutions,"Dynamics competes with cloud-based and on-premises business solution providers such as Oracle, Salesforce, and SAP."
R105,Competition in Email and Information Security,"Security solutions spanning email security, information protection, identity, and governance face competition from web-based offerings and individual applications."
R106,Competition in Markets,Competition in our current and target markets could cause us to lose market share and revenue.
R107,Competition in Professional Networks,"LinkedIn faces competition from online professional networks, recruiting and talent management companies, larger enterprises focused on human resource services, job boards, traditional recruiting firms, and providers of learning and development products and services."
R108,Competition in Server Chips,"NVIDIA's Grace CPU is designed to offer higher performance, twice the memory bandwidth, and improved energy efficiency compared to leading server chips, reflecting the competitive pressure in the server chip market."
R109,Competitive Disadvantage from Export Controls,"Export controls targeting GPUs and semiconductors associated with AI would restrict NVIDIA's ability to export technology, products, or services even though competitors may not be subject to similar restrictions, creating a competitive disadvantage."
R110,Competitive Pressure in AI,"Microsoft AI offerings compete with AI products from hyperscalers such as Amazon Bedrock, Amazon CodeWhisperer, and Google AI, as well as emerging competitors including Meta's LLaMA2 and open source solutions."
R111,Competitive Pressure in Cloud,"Azure faces diverse competition in the cloud computing market from companies such as Amazon, Google, IBM, Oracle, and VMware, as well as open source offerings."
R112,Competitive Pressure in Database and BI,"Microsoft database, business intelligence, and data warehousing solutions compete with products from IBM, Oracle, SAP, Snowflake, and other companies."
R113,Competitive Pressure in Server Products,"Microsoft server products face competition from a wide variety of server operating systems and applications, including Unix offerings from Hewlett-Packard, IBM, and Oracle, as well as Linux-based solutions from many vendors."
R114,Competitive Technology Risk,Competing technologies and competitor product releases and announcements impacting demand for products.
R115,Competitor Resource Advantage,"Some current and potential competitors have greater resources, longer histories, larger customer bases, and greater brand recognition, enabling them to secure better supplier terms, adopt more aggressive pricing, and devote more resources to technology, infrastructure, and marketing."
R116,"Complex Laws, Rules, and Regulations","Operations could be affected by complex laws, rules and regulations including IP ownership, taxes, import/export requirements, anti-corruption, data privacy, competition, cybersecurity, environmental health and safety, AI, climate change, cryptocurrency, and consumer laws. Compliance can be onerous and expensive and could impact competitive position."
R117,Complex and Changing Laws Across Markets,"Business is subject to complex and changing laws, rules, regulations, policies, and legal interpretations governing banking, credit, deposit taking, money transmission, prepaid access, foreign currency exchange, privacy, data protection, cybersecurity, cryptocurrency, payment services, fraud detection, consumer protection, antitrust, economic sanctions, anti-money laundering, and counter-terrorist financing."
R118,Component Availability Risk,The continued availability of custom components at acceptable prices can be affected if suppliers decide to concentrate on the production of common components instead of components customized to meet the Company's requirements.
R119,Component Shortage,"Components used by the Company, including those available from multiple sources, are at times subject to industry-wide shortage and significant commodity pricing fluctuations."
R120,Component Supply Disruption,Some products contain certain components for which there are very few qualified suppliers. Extended disruptions at these suppliers could impact the ability to manufacture devices on time to meet consumer demand.
R121,Component Supply and Pricing Risk,"The Company is subject to significant supply and pricing risks from obtaining certain components from single or limited sources, which are susceptible to industry-wide shortages and significant commodity pricing fluctuations that can materially adversely affect the Company's business."
R122,Confirmation Order Appeal Risk,"Certain parties have filed notices of appeal with respect to the Confirmation Order, and there is no assurance that the remaining appeals will not succeed, which could have a material adverse effect on PG&E Corporation and the Utility."
R123,Constrained Labor Markets,"Constrained labor markets increase the company's payroll costs, which can negatively affect operating results."
R124,Consumer Lending Regulation Risk,"PayPal's installment products are subject to federal and state consumer credit and debt collection laws in the U.S., as well as various consumer lending laws in international markets including Japan, Australia, the UK, France, Germany, Spain, and Italy."
R125,Consumer Protection Violation Risk,"Violations of federal and state consumer protection laws, including the Electronic Fund Transfer Act (EFTA) and Regulation E, could result in significant actual damages, statutory damages, penalties, and attorneys' fees."
R126,Cost Management Risk,"Differences between forecast and actual costs can arise due to the volume of work required, market forces affecting labor and materials, and changes in laws and regulations."
R127,Cost Recovery Risk,"The Utility's spending during a period of delay may exceed the authorized amount without an ability to seek cost recovery of such excess, and spending less than authorized could expose the Utility to operational and financial risk."
R128,Cost Recovery Uncertainty,"There is no assurance that the CPUC will authorize the Utility to recover the full amount of costs tracked in memorandum and balancing accounts, including those related to wildfire response, wildfire prevention, third-party wildfire claims, and insurance costs."
R129,Cost of Capital Adjustment Risk,"The approved cost of capital is effective until December 31, 2025, unless the cost of capital adjustment mechanism is triggered, which could impact revenue requirements."
R130,Cost of Capital Regulatory Risk,"Risk related to CPUC decisions on cost of capital adjustments, including the extraordinary event ruling for 2022 that prevented implementation of the cost of capital adjustment mechanism, and uncertainty in future revenue requirements pending outcomes of GRC proceedings."
R131,Counterparty Credit Risk,"Counterparty financial institutions may default on financial or performance obligations, become insolvent, enter receivership, or file for bankruptcy, potentially causing significant losses and limiting the Utility's ability to recover assets."
R132,Counterparty Financial Institution Default,"One or more counterparty financial institutions may default on their financial or performance obligations to PayPal, exposing the company to potential losses."
R133,Credit Loss Estimation Uncertainty,Estimating current expected credit loss allowances for loans receivable portfolios is inherently uncertain. A deterioration in macroeconomic conditions could result in credit losses that exceed current estimates.
R134,Credit Product Funding Risk,"If PayPal is unable to fund credit products or the purchase of related receivables adequately or in a cost-effective manner, the growth of its credit products could be negatively impacted."
R135,Credit Product Risk,"Credit products expose the company to additional risks, including potential deterioration in merchant and consumer loan receivables driven by changes in acceptable risk parameters."
R136,Credit Quality Risk,"The company faces risk related to the credit quality of outstanding loans, including net charge-off rates and the volume of loans more than 90 days past due across both consumer and merchant portfolios."
R137,Credit Rating Downgrade Risk,"A downgrade of credit ratings, or placement on a watch list for possible downgrading, could increase borrowing rates, including interest rates on borrowings under credit agreements."
R138,Credit Rating Risk,"The company's investment grade credit rating from Standard & Poor's Financial Services may be subject to change, which could affect borrowing costs and access to capital markets."
R139,Credit Rating and Liquidity Risk,"Liquidity, access to capital, and borrowing costs could be adversely impacted by declines in credit rating, financial performance, global credit market conditions, and legal or regulatory proceedings."
R140,Credit Risk,Fixed-income portfolio diversified with primarily investment-grade securities. Credit default swap contracts used to manage credit exposures relative to broad-based indices and facilitate portfolio diversification.
R141,Credit Risk Model Inaccuracy,"Proprietary risk models may not accurately predict the creditworthiness of a consumer or merchant due to inaccurate assumptions related to the particular consumer or merchant, market conditions, economic environment, or limited transaction history or other data."
R142,Credit Risk on Trade Receivables,"The Company is exposed to credit risk on its trade accounts receivable, vendor non-trade receivables and prepayments related to long-term supply agreements. A substantial majority of outstanding trade receivables are not covered by collateral, third-party bank support, or credit insurance, and risk is heightened during periods when economic conditions worsen."
R143,Credit and Financial Instrument Risk,"Adverse economic conditions can lead to increased credit and collectibility risk on trade receivables, the failure of derivative counterparties and other financial institutions, limitations on the Company's ability to issue new debt, reduced liquidity, and declines in the fair values of the Company's financial instruments."
R144,Credit-Risk-Related Contingent Features,"Counterparty agreements require the company to maintain an investment grade credit rating on its long-term unsecured debt and minimum liquidity of $1.0 billion; failure to meet these requirements would result in posting collateral. As of June 30, 2023, the company's debt was rated AAA and cash investments exceeded $1.0 billion."
R145,Critical Accounting Estimates Risk,"Estimates and assumptions affect reported amounts of assets, liabilities, revenues, and expenses. Changes in accounting estimates are reasonably likely to occur from period to period, and actual results could differ materially from those estimates."
R146,Cross-Border Data Transfer Restrictions,"Restrictions on transferring personal data to countries outside of the EEA, including uncertainty around EU-US bilateral cross-border transfer mechanisms and potential legal challenges."
R147,Cross-Border Trade Risk,"Cross-border trade may be negatively impacted by foreign currency exchange rate fluctuations, tariffs, trade barriers or restrictions, sanctions, import or export controls, and the interpretation and application of laws of multiple jurisdictions. Any factors increasing costs or restricting cross-border trade could reduce transactions and volume, negatively impacting revenues and profits."
R148,Cryptocurrency Custody Risk,"Cryptocurrency assets could be treated as a general unsecured claim against the custodian, exposing the company to customer liability for resulting losses."
R149,Cryptocurrency Market Volatility,"Changes in cryptocurrencies, government policies and regulations, new cryptocurrency standards, and shifts in blockchain transaction verification methods have impacted and may continue to impact cryptocurrency mining demand for products."
R150,Cryptocurrency Mining Demand Volatility,"Volatility in cryptocurrency markets, including price changes, government policies, new compute technologies, and changes in blockchain verification methods, creates unpredictable spikes and drops in GPU demand."
R151,Cryptocurrency Regulation Risk,"Current and planned customer cryptocurrency offerings could subject PayPal to additional regulations, licensing requirements, or other obligations. Within the U.S., PayPal is regulated by the New York Department of Financial Services as a virtual currency operator."
R152,Cryptocurrency Regulatory Risk,"The rapidly evolving regulatory landscape for cryptocurrency may subject the company to additional licensing and regulatory obligations, inquiries, or investigations from the SEC or other regulators, and may require product changes, restrictions, or discontinuation of product offerings."
R153,Currency Risk,"The company is exposed to currency risk from euro-denominated debt and foreign exchange rate variability, which is managed using foreign exchange forward contracts designated as cash flow hedging instruments."
R154,Custodian Bankruptcy Risk,"Custodial arrangements to safeguard cryptocurrency assets involve unique risks and uncertainties in the event of the custodian's bankruptcy. Because bankruptcy courts have not yet definitively determined the appropriate treatment of custodial holdings of digital assets, the return of custodied cryptocurrency assets could be delayed or precluded."
R155,Custom Component Dependency,"The Company uses some custom components that are not commonly used by its competitors, and new products often utilize custom components available from only one source, creating supply risks."
R156,Customer Arrearage Risk,"The Utility continues to experience increased customer arrearages due to ongoing economic hardship. Accounts receivable balances over 30 days outstanding were approximately $1.1 billion as of December 31, 2022, approximately $890 million higher than at December 31, 2019."
R157,Customer Collection Delays,"The economic downturn resulting from the COVID-19 pandemic led to reduced customer receipts and collection delays. Accounts receivable balances over 30 days outstanding as of December 31, 2022 were approximately $1.1 billion, roughly $890 million higher compared to December 31, 2019."
R158,Customer Compensation Claims Risk,"If system failures result in damage to customers or their business partners, they could seek significant compensation or contractual penalties, which would be time-consuming and costly to address even if unsuccessful."
R159,Customer Concentration Risk,"The company receives a significant amount of revenue from a limited number of customers. Loss of any large customer, significant reduction in purchases, inability to sell due to trade restrictions, or difficulties collecting accounts receivable would likely harm financial condition and results of operations."
R160,Customer Contractual Obligations,Risk related to the ability to comply with customers' contractual obligations.
R161,Customer Credit Risk,"Challenging economic conditions may impair the ability of customers to pay for products and services, potentially increasing allowances for doubtful accounts and write-offs of accounts receivable."
