risk_id,name,description
R019,Competition,"['Competition from energy service providers and trends in electrification', 'Competition from products and services such as Oracle, Salesforce, SAP', 'Windows faces competition from various software products and from alternative platforms and devices, mainly from Apple and Google. Devices face competition from various computer, tablet, and hardware manufacturers. Xbox and our cloud gaming services face competition from various online gaming ecosystems and game streaming services.', 'The mix of products and services sold to customers, the extent to which Amazon.com owes income or other taxes, management of growth, potential fluctuations in operating results, international growth and expansion, outcomes of claims, litigation, government investigations, fulfillment, sortation, delivery, and data center optimization, risks of inventory management, variability in demand, and payments risks.', 'Competition in our current and target markets could cause us to lose market share and revenue.', 'Substantial and increasingly intense competition worldwide in the global payments industry.', 'Intense competition in the global payments industry characterized by rapid innovation, shifting preferences, price sensitivity, and new competitors.']"
R020,Competition Investigation,"Open investigations based on claims that operations violate competition rules, including European marketplace for sellers."
R021,Competition Law,Competition law regulatory actions and court decisions may result in fines or hinder ability to provide benefits of software to consumers and businesses.
R022,Competition Risk,"['Intensifying competition, including new business models and alliances.', 'We compete with a wide range of businesses in every aspect of our business.', 'Intensely competitive market and rapid technological changes']"
R023,Competition for talent,
R024,Competition in our current and target markets,Competition in our current and target markets could cause us to lose market share and revenue.
R025,Competition laws,"Scrutiny under U.S. and foreign competition laws; enforcement actions in large markets like EU, U.S., and China."
R026,Competitive Market,Global markets for the Company's products and services are highly competitive and subject to rapid technological change.
R027,"Complex laws, rules, and regulations","We are subject to complex laws, rules, and regulations, and political and other actions, which may adversely impact our business."
R028,Compliance Risk,"['Compliance with applicable laws and regulations regarding personal data may require changes in services, business practices, or internal systems that result in increased costs, lower revenue, reduced efficiency, or greater difficulty in competing.', 'Compliance with the U.S. Foreign Corrupt Practices Act and other applicable U.S. and foreign laws prohibiting corrupt payments to government officials and other third parties.']"
R029,Component Pricing and Supply Risk,"Obtaining components from single or limited sources and facing industry-wide shortages and significant pricing fluctuations, such as in the global semiconductor industry affecting the supply."
R030,Cost Management,PG&E Corporation's and the Utility's ability to control operating costs and meet safety and climate goals.
R031,Credit Rating Improvement,"Steps to improve credit ratings and metrics over time, including by reducing debt."
R032,Credit Risk,"['The Company is exposed to credit risk on trade accounts receivable, vendor non-trade receivables, and prepayments related to supply agreements.', 'Exposure to credit risk on trade and vendor non-trade receivables, long-term prepayments', 'Credit risk is managed using credit default swap contracts to achieve portfolio diversification.', ""Credit risk associated with counterparties' financial conditions, net worth, credit ratings, and other credit criteria"", 'Risk of specific consumers defaulting based on past purchase and transaction history and credit scores.']"
R033,Critical Accounting Estimates,Use of estimates and assumptions affecting financial statements
R034,Cryptocurrency market volatility,"Changes in cryptocurrencies, government cryptocurrency policies and regulations, new cryptocurrency standards, and changes in the method of verifying blockchain transactions."
R035,Customer Demand and Spending,
R036,Customer rates increase,Increased customer rates
R037,Cyber Security Risks,"Risks from failures or decrease in the functionality of operational networks, breaches, or unauthorized access to information technology systems exposing sensitive information."
R038,Cyberattacks and security vulnerabilities,"Could result in serious harm to our reputation, business, and financial condition."
R039,Cybersecurity Attacks,Company's operations are subject to the risk of ransomware and other cybersecurity attacks.
R040,Dam Failure,Failure of a large dam or levee
R041,Data Breach,High-profile data breaches provide evidence of an external environment increasingly hostile to information security.
R042,Data Movement Restrictions,The growth of our Internet- and cloud-based services internationally relies increasingly on the movement of data across national boundaries.
R043,Data Regulation Compliance,"Laws and regulations relating to the handling of personal data may impede the adoption of our services or result in increased costs, legal claims, fines against us, or reputational damage."
R044,Defects in our products,Defects in our products have caused and could cause us to incur significant expenses to remediate and can damage our business.
R045,Demand Mismatch,Failure to estimate customer demand properly has led and could lead to mismatches between supply and demand.
R046,"Dependence on carriers, wholesalers, retailers, and resellers",
R047,Dependency on third-party suppliers,"['Dependency on third-party suppliers and their technology reduces our control over product quantity and quality, manufacturing yields, development, enhancement, and product delivery schedules and could harm our business.', 'Dependency on third-party suppliers and their technology to manufacture, assemble, test, package or design products reduces control over product quantity and quality.']"
R048,Derivative Instrument Risk,The use of derivative instruments such as foreign currency forward and option contracts may not be effective to offset adverse financial effects of unfavorable movements in foreign exchange rates.
R049,Design and Manufacturing Defects,Design and manufacturing defects that could materially adversely affect the Company's business and result in harm to the Company's reputation.
R050,Developers focus on competing platforms,
R051,Device component shortage,Limited suppliers for certain device and datacenter components; competitors use some of the same suppliers; component shortages may affect revenue and datacenter capacity.
R052,Digital Safety Abuses,Our hosted consumer services as well as our enterprise services may be used to generate or disseminate harmful or illegal content in violation of our terms or applicable law.
R053,Digital Skills Gap,Need to help skill and recruit people into the cybersecurity workforce
R054,Dividend restrictions,Restrictions on PG&E Corporation's and the Utility's ability to issue dividends
R055,Economic Risk,The company is exposed to economic risk from interest rates and foreign exchange.
R056,Emergency Preparedness,Inadequate plans and response to catastrophic events causing harm or outages
R057,Enforcement Matters,"Subject to Enhanced Oversight and Enforcement Process, with potentially escalating oversight and enforcement measures."
R058,Enforcement Matters and Regulatory Proceedings,"Risks related to enforcement matters, investigations, and regulatory proceedings, including risks related to the Enhanced Oversight and Enforcement Process; legislative and regulatory developments; outcomes of enforcement proceedings in connection with extensive regulations to which the Utility is subject; and outcomes of regulatory and ratemaking proceedings and the Utility's ability to manage its costs."
R059,Environmental,"Compliance with environmental rules related to air, water, hazardous substances, and wildlife conservation"
R060,Environmental Factors,"['Risks related to environmental factors, including risks related to severe weather conditions, extended drought and climate change and events resulting from these conditions (including wildfires); and extensive environmental laws.', 'Severe weather conditions, extended drought, and climate change affecting operations, particularly wildfire management.']"
R061,Environmental Regulation,"['Protection of environment, safety and health, hazardous substances, pollutants, GHG emissions, nuclear fuel, land use impacts', 'Subject to extensive environmental laws, which could change, requiring payment for environmental remediation costs.', ""The Utility's operations are subject to extensive federal, state, and local laws and permits relating to the protection of the environment and the safety and health of the Utility's personnel and the public.""]"
R062,"Environmental, Social and Corporate Governance",A risk related to ESG principles and practices.
R063,"Environmental, Social and Governance considerations","Involves risks and uncertainties, requires investments, and depends in part on third-party performance or data that is outside the Company's control."
R064,Equipment Failure,Equipment breakdowns causing explosions or fires
R065,Excessive Outages,"Excessive outages, data losses, and disruptions of online services due to inadequate operations infrastructure."
R066,Execution and Competitive Risks,Challenges related to executing cloud-based strategies and competing in the market.
R067,Expansion Risk,"Risks related to expansion into new products, services, technologies, and regions."
R068,Export Restrictions,New US export restrictions targeting China's semiconductor and supercomputing industries.
R069,Failure to estimate customer demand properly,Failure to estimate customer demand properly has led and could lead to mismatches between supply and demand.
R070,Failure to meet the evolving needs of our industry and markets,Failure to meet the evolving needs of our industry and markets may adversely impact our financial results.
R071,Failure to obtain or create appealing digital content,
R072,Financial Conditions,"Risks related to financial conditions, including risks related to PG&E Corporation's and the Utility's substantial indebtedness; restrictions in indebtedness documents; appeals of the Confirmation Order; potential additional dilution to holders of PG&E Corporation common stock; any substantial sale of stock by existing stockholders; ownership and transfer restrictions associated with PG&E Corporation common stock; tax-related risks and uncertainties, including the grantor trust election for the Fire Victim Trust."
R073,Financial Risks,"Risks associated with quarterly net sales, profit margins, foreign exchange rates, and seasonality."
R074,Fluctuation of operating results,"Our operating results have in the past fluctuated and may in the future fluctuate, and if our operating results are below the expectations of securities analysts or investors, our stock price could decline."
R075,Foreign Currency Risk,"[""The U.S. dollar's strengthening could adversely affect gross margins the Company earns on foreign currency-denominated sales."", 'Foreign currency risks related to certain non-U.S. dollar-denominated investments are hedged using foreign exchange forward contracts.']"
R076,Foreign Exchange Rate Risk,"[""The Company's exposure relates primarily to the Company being a net receiver of currencies other than the U.S. dollar. Changes in exchange rates, and in particular a strengthening of the U.S. dollar, will negatively affect the Company's net sales and gross margins as expressed in U.S. dollars."", 'Exposure to foreign exchange rate fluctuations with sales in USD and use of foreign currency forward contracts.', 'Adverse impact on income due to foreign exchange rate changes']"
R077,Foreign Exchange Rates,
R078,Forward-Looking Statements,Forward-looking statements are necessarily subject to various risks and uncertainties and reflect management's judgment and opinions.
R079,Fraudulent or Abusive Activities,Activities such as unauthorized use and violations through cloud-based services.
R080,GDPR Compliance,The EU General Data Protection Regulation ('GDPR') imposes a range of compliance obligations regarding the handling of personal data.
R081,Gas System Capacity,Failure to maintain adequate capacity leading to outages
R082,Global Climate Change,"Global climate change is resulting in certain types of natural disasters, such as droughts, floods, hurricanes and wildfires, occurring more frequently or with more intense effects."
R083,Global Economic Conditions,"['Fluctuations in foreign exchange rates, changes in global economic conditions and customer demand and spending, inflation, interest rates, regional labor market and global supply chain constraints, world events, international growth and expansion, and geopolitical conditions.', 'Adverse global and regional economic conditions such as turmoil affecting the banking system or financial markets, extreme volatility or distress in financial markets, higher unemployment, high consumer debt levels, recessionary or inflationary pressures, supply chain issues, reduced consumer confidence or economic activity, government fiscal and tax policies, among others.']"
R084,Global Economic and Geopolitical Conditions,
R085,Global Supply Chain Constraints,
R086,Governmental Regulations,Material Effects of Compliance with Governmental Regulations
R087,Gray market competition,"Products may be resold online or on the unauthorized gray market, competing with new products and distribution channels."
R088,Higher credit spreads,Potential for higher borrowing costs and financing needs.
R089,Human Capital Risks,Competition for qualified personnel.
R090,Human Error,Errors by operators or others
R091,Impact of climate change,Climate change may have a long-term impact on our business.
R092,"Inability to attract, retain and motivate executives","We may be unable to attract, retain, and motivate our executives and key employees."
R093,Inability to realize business investments or acquisitions,"We may not be able to realize the potential benefits of business investments or acquisitions, nor successfully integrate acquisition targets."
R094,Indebtedness,"[""PG&E Corporation's and the Utility's substantial indebtedness may adversely affect their financial health and operating flexibility."", 'Indebtedness could affect financial position and cash flows and prevent implementing strategy or fulfilling contractual obligations.', 'Adverse impact of indebtedness on financial position and cash flows']"
R095,Indebtedness Risk,"['Substantial indebtedness that bears interest at variable rates could limit business opportunities.', ""Risks associated with the company's indebtedness, including ability to pay interest and repay principal.""]"
R096,Industrial Accidents,"[""Company's operations are subject to risks of industrial accidents at its suppliers and contract manufacturers."", ""The Company's operations are subject to risks of industrial accidents at its suppliers and contract manufacturers.""]"
R097,Industry Standards,Failure to meet evolving needs of industry and markets may adversely impact financial results.
R098,Inflation,"['Inflation', 'Inflation raises costs for labor, materials and services, impacting financial condition.']"
R099,Inflation Reduction Act,"Includes a 15% corporate alternative minimum tax on the adjusted financial statement income of corporations with average AFSI exceeding $1.0 billion over a three-year period, effective January 1, 2023"
R100,Information Dissemination Risks,Risks associated with information disseminated through products and services.
R101,Information Misuse,Improper disclosure or misuse of customer or user data could harm reputation or lead to legal exposure.
R102,Information security,Information security risks for global payments and technology companies.
R103,Infrastructure Costs,Costs of building and maintaining infrastructure to support cloud computing services.
R104,Intellectual Property Risks,"['Risks related to the protection and utilization of our intellectual property that may result in harm to business and operating results.', 'Threat to trademarks, service marks, copyrights, patents, domain names, trade dress, trade secrets, proprietary technologies.', 'Risks related to adequately protecting intellectual property rights and being accused of infringing intellectual property rights of third parties.', 'Third parties may allege that we are infringing their patents and other intellectual property rights. We may be unable to protect or enforce our intellectual property.']"
R105,Intense Competition,"['Intense competition across all markets for products and services', 'Our businesses are rapidly evolving and intensely competitive, and we have many competitors across geographies, including cross-border competition, and in different industries.', 'We face intense competition. If we do not continue to innovate and provide products and services that are useful to users, we may not remain competitive, and our revenues and operating results could be adversely affected.']"
R106,Interest Rate Risk,"[""The Company is primarily exposed to fluctuations in U.S. interest rates and their impact on the Company's investment portfolio and term debt. Increases in interest rates will negatively affect the fair value of the Company's investment portfolio and increase the interest expense on the Company's term debt."", 'Unrealized losses from fixed-income securities are primarily attributable to changes in interest rates.', 'Interest rate risks related to certain fixed-rate debt are hedged using interest rate swaps.', 'Interest rate risk sensitivity analysis is used to measure interest rate risk by computing estimated changes in cash flows.', 'Exposure to market risk for changes in interest rates relates primarily to our investment portfolio and our debt.', 'Exposure to interest rate risk relating to investment portfolio and from interest-rate sensitive assets underlying the customer balances held on consolidated balance sheets.', 'Exposure to risk related to fluctuations in interest rates affecting borrowings and customer obligations.', 'Investments in fixed and floating rate securities may be impacted by changes in interest rates.']"
R107,Interest Rates,
R108,International Operations Risk,"['Risks associated with international operations, including regulatory challenges.', 'Increased risks from international operations due to local regulatory, licensing, reporting, and legal obligations; and difficulties in adapting products and services to local preferences, among other challenges.', 'Exposure to risks including changes in local political, economic, regulatory, tax, social, and labor conditions; restrictions on foreign ownership and investments; stringent foreign exchange controls; import and export requirements; longer payment cycles; increased credit risk; higher levels of payment fraud; developing foreign laws and legal systems; uncertainty regarding liability for services and content; different employee/employer relationships; compliance with complex foreign and U.S. laws and regulations.']"
R109,International Trade Restrictions,"Restrictions on international trade, such as tariffs and other controls on imports or exports of goods, technology or data, can materially adversely affect the Company's operations and supply chain."
R110,International operations and region changes,"International operations are a significant part of our business, and economic, political, business, and other changes in the regions in which we operate may expose us to risks that could harm our business."
R111,Inverse Condemnation,"Strict liability for damages as a result of the design, construction and maintenance of utility facilities, including utilities' electric transmission lines."
R112,Investment Risks,"['Investment in new business strategies and acquisitions could disrupt ongoing business, present unforeseen risks and materially adversely affect business and financial condition.', 'Trading price of common stock fluctuates significantly in response to various risks.']"
R113,IoT Risks,"The development of the IoT presents security, privacy, and execution risks."
R114,Legal challenges,Competitors and consumers can assert claims of anti-competitive conduct; competition law regulatory actions may result in fines or hinder software benefits.
R115,Limited number of customers,A significant amount of our revenue stems from a limited number of customers and could be adversely affected if we lose or are prevented from selling to any of these customers.
R116,Litigation,Significant contingencies arising from operations including enforcement and litigation matters
R117,Litigation Risks,"['Business is exposed to the risks associated with litigation, investigations and regulatory proceedings.', 'Risks associated with litigation, investigations and regulatory proceedings']"
R118,Litigation and investigations affecting App Store,
R119,Macroeconomic Conditions,"['Including inflation, changes in interest rates, and currency fluctuations impacting financial condition', 'Continued volatility with respect to macroeconomic conditions']"
R120,Macroeconomic and Industry Risks,"Adverse macroeconomic conditions, including slow growth or recession, high unemployment, inflation, tighter credit, higher interest rates, and currency fluctuations, can adversely impact consumer confidence and spending and materially adversely affect demand for the Company's products and services."
R121,Malicious Attacks,"['The Company experiences malicious attacks and other attempts to gain unauthorized access to its systems on a regular basis.', 'Malicious attacks perpetrated to gain access to confidential information, affect many companies across various industries, especially high-profile ones.']"
R122,"Media, political and regulatory scrutiny","Exposes the Company to increasing regulation, government investigations, legal actions and penalties."
R123,Modification or interruption of business processes,"Modification or interruption of our business processes and information systems may disrupt our business, processes, and internal controls."
R124,Motor Vehicle Incident,"Vehicle incidents involving serious injuries, fatalities, or property damage"
R125,Municipalization Threats,"Jurisdictions may attempt to acquire the Utility's assets through eminent domain and calls for state intervention, including the possibility of a state takeover of the Utility."
R126,Natural Disasters,"[""Many of the Company's operations and facilities, as well as those of suppliers and contract manufacturers, are in locations prone to natural disasters such as earthquakes, floods, and hurricanes."", 'Operations could be harmed and costs could increase if manufacturing, logistics or other operations are disrupted due to natural disasters, high heat events, or water shortages.']"
R127,Net operating loss,The inability of PG&E Corporation to use some or all of its net operating loss carryforwards and other tax attributes to offset future income
R128,Operational Hazards,Hazardous electricity and natural gas operations
R129,Operational Risk,"['Operational risk associated with delays in GRC decisions and spending during the period of the delay exceeding authorized amounts', 'Difficulty in staffing, developing, and managing foreign operations as a result of distance, language, and cultural differences.']"
R130,Operations and Information Technology,"Risks related to operations and information technology, including risks related to the hazardous nature of the Utility's electricity and natural gas operations; changes in the electric power and gas industries; cyber incident, cyber security breach, severe natural event or physical attack; operation and decommissioning of the Utility's nuclear generation facilities; and attracting and retaining specialty personnel."
R131,Overpressure Event,Overpressure event on natural gas facilities
R132,Ownership Change,"Under Section 382 of the IRC, if a corporation undergoes an 'ownership change,' net operating loss carryforwards and other tax attributes may be subject to certain limitations."
R133,Ownership Restrictions,"['Restrictions on transferability and ownership of PG&E Corporation common stock and preferred stock to reduce the possibility of equity ownership shift affecting net operating loss carryforwards and tax attributes.', 'Restrictions on stock ownership']"
R134,Ownership and Transfer Restrictions,Restrictions intended to preserve PG&E Corporation's ability to use its net operating loss carryforwards and other tax attributes
R135,Pandemics,"Public health issues, including pandemics such as the COVID-19 pandemic, can interrupt Company operations."
R136,Payments-Related Risks,"Subject to regulations and compliance requirements for payment options, risk of fraud, increase in fees for credit and debit cards, reliance on third parties for payment processing services, and possible adverse effects if co-branded credit card programs are renewed on less favorable terms or terminated."
R137,Piracy,
R138,Platform Abuse,Abuse of platforms may harm reputation or user engagement.
R139,Platform Competition,Competition among platform-based ecosystems requiring significant scale in the marketplace
R140,Political Uncertainty,Political uncertainty surrounding trade and international disputes can negatively affect consumer confidence and spending.
R141,Political and International Disputes,"Political events, trade and other international disputes, war, terrorism, natural disasters, public health issues, industrial accidents and other business interruptions can harm or disrupt international commerce and the global economy, and could have a material adverse effect on the Company and its customers, suppliers, contract manufacturers, logistics."
R142,Potential Workplace Risks,Identifies potential workplace risks to develop measures to mitigate possible hazards.
R143,Privacy,Compliance with CCPA and CPRA
R144,Privacy Concerns,"['Privacy or security concerns relating to products and services could damage reputation, deter customers, or result in legal or regulatory proceedings and liability.', 'Concerns relating to privacy of users and others, compromise due to our practices in the collection, use, disclosure, or security of personal information.']"
R145,Product Liability Claims,"['Product liability claims, recalls, product replacements or modifications, write-offs of inventory, property, plant and equipment or intangible assets, and significant warranty and other expenses, including litigation costs and regulatory fines.', 'Claims when people or property are harmed by the products sold or manufactured, including personal injury, illness, death, or environmental or property damage.']"
R146,"Product, system security, and data breaches","Product, system security, and data breaches and cyber-attacks could disrupt our operations and adversely affect our financial condition, stock price, and reputation."
R147,Protection of IP rights,"Adequately protecting our IP rights could be costly, and our ability to compete could be harmed if we are unsuccessful or if we are prohibited from making or selling our products."
R148,Public Health Issues,"Major public health issues, including pandemics such as COVID-19, adversely affect the Company."
R149,Radio Emissions,Radio emissions from cellular handsets alleged to cause brain tumors and other adverse health effects.
R150,Radioactive Release,Release of radioactive materials due to various factors
R151,Records Management,Ineffective program leading to unsafe utility system operation
R152,Regional Labor Market,
R153,Regulation Risk,"Unfavorable regulations, laws, decisions, or interpretations by government or regulatory authorities could cause substantial costs, expose to civil and criminal liability, diminish demand for products, increase business costs, require changes in business practices, damage reputation, impede growth, or otherwise affect operations."
R154,Regulatory Environment,"Business subject to federal, state, and local agencies oversight, including CPUC, FERC, NRC, NTSB, OEIS"
R155,Regulatory Matters,"[""Outcome of regulatory proceedings can be affected by many factors, including intervening parties' testimonies, potential rate impacts, the regulatory and political environments, and other factors."", 'Substantial regulation by CPUC, FERC, NRC and other agencies']"
R156,Regulatory Risk,"['Substantial uncertainties regarding the interpretation of PRC and Indian laws and regulations.', 'Risks related to regulatory challenges and government regulations.', 'Additional regulations, licensing requirements, or other obligations due to cryptocurrency offerings.']"
R157,Regulatory challenges,Significant regulatory challenges preventing the completion of the transaction
R158,Regulatory environment,"Heightened focus by regulators globally on all aspects of the payments industry, including countering terrorist financing, anti-money laundering, privacy, cybersecurity, and consumer protection."
R159,Release of Hazardous Substances,Release of toxic substances like gas leaks and chemical spills
R160,Reputation Impact,Adverse impact on PG&E's reputation due to PSPS and EPSS programs
R161,"Responsible use of technologies, including AI","Issues relating to the responsible use of our technologies, including AI, may result in reputational and financial harm and liability."
R162,Retail Store Risks,"Retail operations are subject to many factors that could adversely impact business and financial condition, including macroeconomic factors affecting retail activity."
R163,Risk Factors,"[""The Company's business, reputation, results of operations, financial condition."", 'Factors that may impact our revenue.']"
R164,Russia and Ukraine Conflict,Military hostilities commenced by Russia in Ukraine in February 2022 and the suspension of transactional services in Russia.
R165,Safety Culture,Organizational culture and governance prioritize safety and direct resources to promote accountability and achieve safety goals and standards
R166,"Scrutiny regarding environmental, social and governance responsibilities","Increased scrutiny from shareholders, regulators, and others regarding our environmental, social, and governance responsibilities could result in financial, reputational, and operational harm."
R167,Seasonality,Higher sales volume during fourth quarter.
R168,Security Vulnerabilities,"Breaches of security measures, vulnerable data, and potential litigation arising from security incidents."
R169,Security Vulnerability,"Security vulnerability in components could lead to increased costs, liability claims, reduced revenue, or harm."
R170,Severe Weather Events,"Severe weather events and other natural disasters, including wildfires and other fires, storms, tornadoes, floods, extreme heat events, drought, earthquakes, lightning, tsunamis, rising sea levels, pandemics, solar events, electromagnetic events, wind events or other weather-related conditions, climate change, or natural disasters"
R171,Significant Inventory Risk,"Exposed to significant inventory risks due to seasonality, new product launches, rapid changes in product cycles and pricing, defective merchandise, changes in customer demand and consumer spending patterns, changes in consumer tastes, spoilage, and other factors."
R172,Speculative Technology Investment,
R173,Statewide Black-out,Prolonged statewide electrical black-out
R174,Stock-Based Compensation Expense,Expense associated with stock-based compensation.
R175,Stringent and changing data privacy and security laws,"We are subject to stringent and changing data privacy and security laws, rules, regulations, and other obligations."
R176,Supply Chain Risk,"['Relies on single-source outsourcing partners in the U.S., Asia, and Europe for components and manufacturing, facing risks from disruptions such as natural disasters, information technology failures, commercial disputes, armed conflict, economic, business, labor, environmental, public health, or political issues.', 'Limited supply or capacity in our supply chain, extended lead times, increased product costs.']"
R177,Supply Shortages,"Significant risks of supply shortages and price increases that can materially adversely affect the Company's business, results of operations and financial condition."
R178,Supply chain risks,"Lack of guaranteed supply of wafer, component and capacity or decommitment, potential higher wafer and component prices."
R179,Tax Liabilities,"['Operating results may be adversely impacted by additional tax liabilities, higher than expected tax rates and other tax-related factors.', 'Exposure to additional tax liabilities and adverse impact by higher than expected tax rates.', 'Exposure to greater than anticipated tax liabilities due to regulatory reviews and audits.']"
R180,Tax-related risks,"Tax-related risks and uncertainties, including the grantor trust election for the Fire Victim Trust"
R181,Technological Competition,Competition in the technology sector involving diverse global companies and specialized firms
R182,Third-Party Attacks,"Attacks including cyber-attacks, terrorism, or vandalism"
R183,Third-Party Construction,Damage to utility facilities from third-party construction
R184,Third-party Vendor Risks,Risks from third-party vendors failing to establish adequate processes or cease to exist affecting the Utility's systems.
R185,Trade Regulations,"Increasing trade laws, policies, sanctions, and other regulatory requirements affect operations relating to trade and investment."
R186,Wildfire,"['Potential liability for damages from catastrophic wildfires', 'risks from wildfires caused by electrical equipment']"
R187,Wildfire Fund Contribution,Financial contribution to wildfire fund by IOUs borne by shareholders
R188,Wildfire Fund risks,Risks related to the Wildfire Fund and other provisions of AB 1054 not effectively mitigating the risk of liability for damages arising from catastrophic wildfires
R189,Wildfire Mitigation,"['Liability for damages from wildfire mitigation initiatives', 'Costs related to wildfire mitigation and certain catastrophic events']"
R190,Wildfire Mitigation and Catastrophic Events Cost Recovery Applications,Applications related to cost recovery for wildfire mitigation and certain catastrophic events.
R191,Wildfire Risk,"[""Exacerbated risk from climate change involving potential ignition by Utility's equipment"", ""The Utility's service area remains susceptible to additional wildfire activity."", 'The risk of liability for damages arising from catastrophic wildfires.', 'Increased risk of wildfires due to environmental factors such as drought, bark beetle infestations, and climate change.', 'Wildfire mitigation strategy including undergrounding powerlines in high fire risk areas', '2017 Northern California wildfires claims costs']"
R192,Wildfire liabilities,"Liabilities related to wildfires, including claims, fire suppression costs, penalties, and fines."
R193,Wildfire-Related Liabilities,"Potential liabilities related to wildfires including settlements, causes, damages, and personal injuries."
R194,Wildfires,"['Increased susceptibility due to climate change, risk within High Fire Threat Districts (HFTDs)', 'Risks related to wildfires, including risks related to the extent to which the Wildfire Fund and revised recoverability standard under AB 1054 effectively mitigate the risk of liability for damages arising from catastrophic wildfires; the 2019 Kincade fire, the 2020 Zogg fire, the 2021 Dixie fire, the 2022 Mosquito fire, or future wildfires; recovery of excess costs in connection with wildfires; and implementation of wildfire mitigation initiatives.', 'Includes the 2019 Kincade fire, the 2020 Zogg fire, the 2021 Dixie fire, the 2022 Mosquito fire, or future wildfires', ""Potential that the utility's equipment will be involved in the ignition of future wildfires, including catastrophic wildfires."", 'The Utility has incurred, and continues to incur, costs to strengthen its wildfire mitigation and prevention efforts before it is clear whether such costs will be recoverable through rates.', 'Wildfires, Wildfire Mitigation, and Associated Cost Recovery.', 'Cost related to wildfires that impacted earnings.']"
R195,Workplace Hazards,Failure to identify and control workplace hazards
R196,catastrophic events,items resulting from catastrophic events
R197,competition in AI offerings,"Our AI offerings compete with AI products from hyperscalers such as Amazon Bedrock, Amazon CodeWhisperer, and Google AI, as well as products from other emerging competitors, including Meta's LLaMA2 and other open source solutions."
R198,competition in cloud services,"Azure faces diverse competition from companies such as Amazon, Google, IBM, Oracle, VMware, and open source offerings."
R199,competition in security solutions,"Our Enterprise Mobility + Security offerings also compete with identity vendors, security solution vendors, and numerous other security point solution vendors."
R200,competition in server products,Our server products face competition from a wide variety of server operating systems and applications offered by companies with a range of market approaches.
R201,inflation in health care costs,Continued high inflation in health care costs
R202,market risk,Quantitative and qualitative disclosures about market risk
R203,wildfires,"['Wildfires as a risk factor.', 'ongoing losses related to wildfires']"
