risk_id,name,description
R024,Diablo Canyon Extended Operations Risk,"If Diablo Canyon enters extended operations through no later than 2030, the Utility will face operational challenges from a shortened planning period, including potential inability to procure adequate nuclear fuel supply."
R025,ESG Reporting and Compliance Risk,"Governments around the world are adopting laws and regulations pertaining to ESG performance, transparency, and reporting, including the EU Corporate Sustainability Reporting Directive and climate-related risk management requirements."
R026,Export Control Restrictions,"Semiconductors associated with AI, including GPUs, are increasingly the focus of export control restrictions. Controls may prohibit exporting products to customers in one or more markets, including China, negatively impacting manufacturing, testing, warehousing, revenue, and financial results."
R027,Fabless Manufacturing Dependency,"NVIDIA relies on key third-party suppliers for all phases of manufacturing including wafer fabrication, assembly, testing, and packaging, which introduces supply chain risk."
R028,Foreign Currency Exchange Rate Risk,"Revenues from Rest of the world were unfavorably impacted by changes in foreign currency exchange rates, primarily because the U.S. dollar strengthened relative to the Euro, Brazilian real, Australian dollar, and Japanese yen."
R029,Fraud Risk,"Fraud schemes related to Venmo products and services may result in increased losses, negatively impacting transaction loss metrics."
R030,Fulfillment Network Expansion Costs,"Fulfillment costs are impacted by increased investments in the fulfillment network, variable costs corresponding with higher product and service sales volumes and inventory levels, and increased wage rates and incentives."
R031,GDPR and CCPA Compliance Risk,"Privacy laws such as GDPR and CCPA require customers to impose specific contractual restrictions on service providers. A breach exposing or altering personal data could harm customer relationships and subject the company to litigation, regulatory action, or fines."
R032,Geopolitical Risk,"Geopolitical tensions involving Taiwan and China, which comprise a significant portion of revenue and where suppliers, contract manufacturers, and assembly partners critical to supply continuity are located."
R033,Indebtedness Risk,"Risks associated with existing and future indebtedness, including the need to use significant cash flow to service debt, reduced flexibility in business planning, limits on additional financing, and potential acceleration of repayment if covenants are breached."
R034,Insufficient Insurance Coverage,Insurance policies maintained to offset financial impact from cybersecurity risks may be insufficient to compensate for all losses caused by security breaches and other damage to or unavailability of systems.
R035,Intellectual Property Protection Risk,"Protecting intellectual property rights and combating unlicensed copying and use of software on a global basis is difficult. Changes in law may weaken the ability to prevent use of patented technology or collect royalties, and source code leaks could enable competitors to copy functionality."
R036,Intellectual Property Rights Risk,"Efforts to protect intellectual property rights could result in substantial costs, and the company's competitive position could be harmed if those efforts are unsuccessful or if the company is prohibited from making or selling products. Additional risks include patent infringement lawsuits, indemnification obligations, and potential suspension of product manufacturing and sales."
R037,Intense Competition,"Businesses are rapidly evolving, intensely competitive, and subject to changing technologies, shifting user needs, and frequent introductions of new products and services. Competitors range from large established companies to emerging start-ups in search, online advertising, wireless mobile devices, and operating systems."
R038,Interest Rate Risk,"Adverse changes in market interest rates could decrease the fair value of marketable securities. A hypothetical 1.00% (100 basis points) increase in interest rates would have resulted in a decrease in the fair value of marketable securities of approximately $1.2 billion and $1.3 billion as of December 31, 2014 and December 31, 2015 respectively."
R039,International Operations Risk,"International operations expose the company to risks including changes in local political, economic, regulatory, tax, social, and labor conditions; restrictions on foreign ownership and investments; stringent foreign exchange controls; import and export requirements; tariffs; trade disputes; longer payment cycles; increased credit risk; higher payment fraud; developing foreign laws; uncertainty regarding liability for services and content; and different employee/employer relationships."
R040,Inverse Condemnation Liability,"Inverse condemnation imposes strict liability, including liability for attorneys' fees, for damages resulting from the design, construction, and maintenance of utility facilities such as electric transmission lines. Plaintiffs assert this doctrine in lawsuits related to certain wildfires in the Utility's service area."
R041,Key Personnel Retention Risk,"The loss of key personnel, or the inability to attract, hire, develop, motivate, and retain highly qualified and diverse talent in both remote and in-office environments, could harm the company's overall business and results of operations."
R042,Macroeconomic Conditions,"Macroeconomic factors including inflation, increased interest rates, significant capital market volatility, the prolonged COVID-19 pandemic, global supply chain constraints, and global economic and geopolitical developments have direct and indirect impacts on results of operations."
R043,Nation-State Cyber Attack Risk,"Sophisticated threat actors, including nation-states and nation-state-supported groups, engage in cyber-attacks especially during geopolitical conflicts and times of war, potentially disrupting the company's ability to provide services and products."
R044,Nuclear Decommissioning Cost Risk,"The Utility has an obligation to decommission its electricity generation facilities including nuclear facilities. If actual decommissioning costs exceed estimated costs, financial condition, results of operations, liquidity, and cash flows could be materially affected."
R045,Open Source Competition,"Some companies compete by modifying and distributing open source software at little or no cost, using open source AI models, without bearing the full costs of research and development. Some open source products mimic the features and functionality of Microsoft products."
R046,Regulatory Compliance Risk,"Compliance with complex foreign and U.S. laws and regulations including internal control and disclosure rules, privacy and data protection requirements, anti-corruption laws such as the U.S. Foreign Corrupt Practices Act, and competition regulations increases cost of doing business. Violations could result in fines, penalties, criminal sanctions, and prohibitions on conducting business."
R047,Regulatory Risk,"New or changing laws and regulations, including changes to their interpretation and implementation, as well as increased penalties and enforcement actions for non-compliance, could have a material adverse impact on the company's business, results of operations, and financial condition."
R048,Reputation and Brand Damage Risk,"Reputation and brands could be damaged due to scrutiny or backlash from customers, partners, employees, government entities, media, or advocacy groups, stemming from new features, products, services, terms of service changes, or decisions regarding user privacy, data practices, or information security. Social media may amplify negative brand events."
R049,Single Product Concentration Risk,The Company generates a significant portion of its net sales from a single product and a decline in demand for that product could significantly impact quarterly net sales.
R050,Supply Chain Concentration Risk,"The Company relies on single or limited sources for the supply and manufacture of many critical components. Substantially all manufacturing is performed by outsourcing partners located primarily in China mainland, India, Japan, South Korea, Taiwan and Vietnam. A business interruption affecting such sources would exacerbate any negative consequences."
R051,Supply Chain Constraints,"Limited supply or capacity in the supply chain has led to extended lead times of more than 12 months, requiring premiums and deposits to secure future supply and capacity, thereby increasing product costs."
R052,Supply Chain Disruption,"Risk of inability to find replacement vendors on favorable terms or at all in the event of a supply chain disruption, including volume-based pricing issues and minimum purchase requirements."
R053,Talent Attraction and Retention,"Competition for key and highly skilled personnel is intense, especially for executive talent, software engineers, and other technology talent. The company may be limited in its ability to recruit or hire internationally due to restrictive immigration laws or policies."
R054,Third-Party Developer Dependency,NVIDIA depends on developers and other third parties to build accelerated computing applications that leverage its platforms. Failure by developers or content providers to do so could adversely affect customer demand.
R055,Transaction and Credit Losses,"Transaction and credit losses encompass expenses associated with customer protection programs, fraud, chargebacks, and credit losses on loans receivable. These losses fluctuate based on total payment volume, product mix, macroeconomic conditions, merchant insolvency events, changes to customer protection programs, regulatory changes, and the credit quality of loans receivable."
R056,Uncertain Tax Positions,"Significant judgment is required in evaluating uncertain tax positions and determining provision for income taxes. No assurance can be given that the final tax outcome will not be different from reserved amounts, potentially impacting the provision for income taxes and effective tax rate."
R057,Wildfire Liability Risk,"If found negligent in connection with wildfires, the Utility may be liable for personal injuries, loss of life, fire suppression and clean-up costs, and other damages, and may also face penalties or fines imposed by governmental entities."
